i node1 node2 node3 node4 node5 node6 node7 node8 node9 node10
1.000000 -1.193618 -1.201202 -1.236584 -1.198783 -1.234722 0.000000 0.000000 0.000000 0.000000 0.000000
11.000000 0.786125 0.785858 0.705860 0.769058 0.676530 0.000000 0.000000 0.000000 0.000000 0.000000
21.000000 1.613768 1.613803 0.801799 1.524282 0.579128 0.000000 0.000000 0.000000 0.000000 0.000000
31.000000 1.706580 1.706582 1.597552 1.654813 1.533859 0.000000 0.000000 0.000000 0.000000 0.000000
41.000000 5.029551 5.029551 0.790948 -0.815518 0.937656 0.000000 0.000000 0.000000 0.000000 0.000000
51.000000 0.664827 0.664827 0.116518 0.548868 -0.084262 0.000000 0.000000 0.000000 0.000000 0.000000
61.000000 3.176478 3.176478 2.633939 2.843559 2.251496 0.000000 0.000000 0.000000 0.000000 0.000000
71.000000 0.162550 0.162550 0.953441 0.373141 1.341633 0.000000 0.000000 0.000000 0.000000 0.000000
81.000000 2.087983 2.087983 3.153160 1.545413 3.610959 0.000000 0.000000 0.000000 0.000000 0.000000
91.000000 0.003033 0.003033 1.701420 0.743582 2.510896 0.000000 0.000000 0.000000 0.000000 0.000000
101.000000 1.905720 1.905720 0.058550 3.696519 5.183978 0.000000 0.000000 0.000000 0.000000 0.000000
111.000000 0.638121 0.638121 3.648074 0.010868 2.367778 0.000000 0.000000 0.000000 0.000000 0.000000
121.000000 1.561093 1.561093 2.612011 1.802385 3.011202 0.000000 0.000000 0.000000 0.000000 0.000000
131.000000 5.147328 5.147328 3.814460 0.153038 0.945927 0.000000 0.000000 0.000000 0.000000 0.000000
141.000000 2.099591 2.099591 0.071912 -1.195318 0.643772 0.000000 0.000000 0.000000 0.000000 0.000000
151.000000 1.400795 1.400795 1.338320 1.387394 1.315251 0.000000 0.000000 0.000000 0.000000 0.000000
161.000000 -1.113612 -1.113612 -1.256042 -1.143711 1.387726 0.000000 0.000000 0.000000 0.000000 0.000000
171.000000 -0.410335 -0.410335 0.456997 -0.282110 0.693759 0.000000 0.000000 0.000000 0.000000 0.000000
181.000000 0.883264 0.883264 0.481394 0.790796 0.327143 0.000000 0.000000 0.000000 0.000000 0.000000
191.000000 0.210014 0.210014 2.117947 -0.143017 2.370386 0.000000 0.000000 0.000000 0.000000 0.000000
201.000000 1.612064 1.612064 -0.391342 -1.118799 -0.053953 0.000000 0.000000 0.000000 0.000000 0.000000
211.000000 6.460903 6.460903 1.376151 1.733709 -0.591683 0.000000 0.000000 0.000000 0.000000 0.000000
221.000000 1.577475 1.577475 -1.161825 1.467471 -1.046975 0.000000 0.000000 0.000000 0.000000 0.000000
231.000000 0.949908 0.949908 -0.684956 0.589532 2.096335 0.000000 0.000000 0.000000 0.000000 0.000000
241.000000 3.446743 3.446743 1.523555 2.861150 0.732755 0.000000 0.000000 0.000000 0.000000 0.000000
251.000000 2.848199 2.848199 2.258803 2.710227 2.028260 0.000000 0.000000 0.000000 0.000000 0.000000
261.000000 1.132147 1.132147 -0.164063 0.790889 -0.489927 0.000000 0.000000 0.000000 0.000000 0.000000
271.000000 -0.362189 -0.362189 -0.468125 -0.359447 -0.474228 0.000000 0.000000 0.000000 0.000000 0.000000
