x y errorx errory
1.000000 2.125683 0.0 1.196453
51.000000 3.540129 0.0 2.067971
101.000000 3.784986 0.0 2.114930
151.000000 4.027050 0.0 2.806842
201.000000 3.527965 0.0 2.735079
251.000000 3.392877 0.0 2.873587
301.000000 3.081842 0.0 2.814604
351.000000 2.763145 0.0 2.898570
401.000000 2.682723 0.0 2.930210
451.000000 2.530731 0.0 2.680752
501.000000 2.311123 0.0 2.909097
551.000000 2.155330 0.0 2.571334
601.000000 2.172375 0.0 2.604391
651.000000 1.849419 0.0 2.586677
701.000000 1.822591 0.0 2.584330
751.000000 1.611618 0.0 2.045601
801.000000 1.554667 0.0 2.083536
851.000000 1.420044 0.0 1.746895
901.000000 1.629740 0.0 2.471375
951.000000 1.426894 0.0 2.115219
1001.000000 1.417741 0.0 2.127899
1051.000000 1.470833 0.0 2.094537
1101.000000 1.345620 0.0 2.131509
1151.000000 1.367191 0.0 2.087736
1201.000000 1.462468 0.0 2.174169
1251.000000 1.321970 0.0 2.094772
1301.000000 1.365468 0.0 2.095541
1351.000000 1.330396 0.0 2.108912
1401.000000 1.299642 0.0 2.111047
1451.000000 1.293613 0.0 2.113604
1501.000000 1.245163 0.0 1.834999
