i node1 node2 node3 node4 node5 node6 node7 node8 node9 node10
1.000000 5.179917 8.959126 5.058765 2.113030 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11.000000 16.868169 24.772156 18.515641 18.848855 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
21.000000 21.589166 18.716295 23.468810 21.844823 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
31.000000 -8.116882 -12.242930 -10.675951 -10.321701 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
41.000000 -10.888895 -11.782117 -12.017374 -11.561490 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
51.000000 -9.271241 -8.676207 -9.014801 -9.051992 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
61.000000 -7.665740 -6.506817 -6.666255 -6.997411 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
71.000000 -7.014838 -6.311396 -6.296434 -6.555784 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
81.000000 -7.822959 -7.652362 -7.578707 -7.689104 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
91.000000 -9.558943 -9.766276 -9.689707 -9.672003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
101.000000 -10.733443 -11.134687 -11.095529 -10.979612 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
111.000000 -9.363361 -9.587998 -9.612544 -9.508427 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
121.000000 -6.601794 -6.510284 -6.551885 -6.548420 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
131.000000 -5.603782 -5.447087 -5.465745 -5.504715 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
141.000000 -6.690104 -6.587639 -6.590447 -6.623031 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
151.000000 -9.162235 -9.119213 -9.114150 -9.132331 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
161.000000 -11.790758 -11.819201 -11.808466 -11.807045 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
171.000000 -11.144352 -11.224899 -11.216400 -11.196388 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
