x y errorx errory
1.000000 5.022333 0.0 4.196942
51.000000 1.120019 0.0 0.787807
101.000000 1.135474 0.0 0.573702
151.000000 1.244548 0.0 0.932282
201.000000 1.247270 0.0 0.911948
251.000000 1.051657 0.0 0.299718
301.000000 1.480198 0.0 0.850527
351.000000 1.782537 0.0 1.781009
401.000000 1.136680 0.0 0.405009
451.000000 1.382023 0.0 1.016414
501.000000 1.378491 0.0 0.595863
551.000000 1.368667 0.0 1.491257
601.000000 0.949193 0.0 0.204341
651.000000 0.958682 0.0 0.368941
701.000000 1.488635 0.0 0.981516
751.000000 1.243324 0.0 0.468652
801.000000 1.476255 0.0 1.130473
851.000000 0.928855 0.0 0.477241
901.000000 1.222416 0.0 0.603721
951.000000 1.523152 0.0 1.073845
1001.000000 1.302584 0.0 0.775270
1051.000000 1.240989 0.0 0.400527
1101.000000 1.409621 0.0 0.718388
1151.000000 1.204356 0.0 0.594895
1201.000000 1.429058 0.0 0.662691
1251.000000 1.311556 0.0 1.282852
1301.000000 1.390378 0.0 0.804973
1351.000000 1.234147 0.0 0.452752
1401.000000 1.164202 0.0 0.797294
1451.000000 1.192787 0.0 0.562069
1501.000000 1.344251 0.0 0.747637
