x y errorx errory
1.000000 2.068223 0.0 1.281359
51.000000 3.244444 0.0 1.404318
101.000000 3.821625 0.0 1.838217
151.000000 3.907635 0.0 2.883643
201.000000 3.598058 0.0 2.808151
251.000000 3.196368 0.0 2.737537
301.000000 3.015230 0.0 3.031431
351.000000 2.649613 0.0 2.894349
401.000000 2.591791 0.0 2.942106
451.000000 2.277247 0.0 2.382602
501.000000 2.083806 0.0 2.270340
551.000000 2.091414 0.0 2.291471
601.000000 2.028841 0.0 2.313107
651.000000 1.856036 0.0 2.089288
701.000000 1.718944 0.0 2.270723
751.000000 1.587021 0.0 2.058106
801.000000 1.474739 0.0 2.063805
851.000000 1.421368 0.0 2.091792
901.000000 1.483666 0.0 2.065420
951.000000 1.403261 0.0 2.088973
1001.000000 1.380209 0.0 2.102538
1051.000000 1.349588 0.0 2.112831
1101.000000 1.369691 0.0 2.128211
1151.000000 1.259458 0.0 1.863930
1201.000000 1.256646 0.0 1.887547
1251.000000 1.253882 0.0 1.893751
1301.000000 1.249571 0.0 1.893088
1351.000000 1.244348 0.0 1.908105
1401.000000 1.203080 0.0 1.921679
1451.000000 1.154921 0.0 1.882024
1501.000000 1.123568 0.0 1.639244
1551.000000 1.115290 0.0 1.667408
1601.000000 1.135505 0.0 1.652141
1651.000000 1.134300 0.0 1.655686
1701.000000 1.100700 0.0 1.644315
1751.000000 1.001516 0.0 1.607939
1801.000000 0.983845 0.0 1.588667
1851.000000 0.983023 0.0 1.590208
1901.000000 0.994142 0.0 1.428147
1951.000000 0.886805 0.0 1.377744
2001.000000 0.923791 0.0 1.536130
2051.000000 0.826626 0.0 1.373020
2101.000000 0.813046 0.0 1.372345
2151.000000 0.806840 0.0 1.372049
2201.000000 0.801497 0.0 1.370320
2251.000000 0.793100 0.0 1.376621
2301.000000 0.621249 0.0 0.998151
2351.000000 0.635454 0.0 1.001091
2401.000000 0.626194 0.0 0.999392
2451.000000 0.638666 0.0 0.998335
2501.000000 0.609657 0.0 1.003276
2551.000000 0.604929 0.0 1.005678
2601.000000 0.604432 0.0 1.005130
2651.000000 0.582934 0.0 1.006278
2701.000000 0.495749 0.0 0.667952
2751.000000 0.472628 0.0 0.656330
2801.000000 0.450485 0.0 0.658715
2851.000000 0.440649 0.0 0.656282
2901.000000 0.463421 0.0 0.652119
2951.000000 0.437653 0.0 0.631995
3001.000000 0.438970 0.0 0.657297
3051.000000 0.447765 0.0 0.653728
3101.000000 0.395816 0.0 0.559678
3151.000000 0.413645 0.0 0.549664
3201.000000 0.399085 0.0 0.555037
3251.000000 0.393505 0.0 0.556096
3301.000000 0.387680 0.0 0.558264
3351.000000 0.402065 0.0 0.612993
3401.000000 0.406460 0.0 0.611663
3451.000000 0.381103 0.0 0.563407
3501.000000 0.379781 0.0 0.604320
3551.000000 0.384139 0.0 0.608363
3601.000000 0.369444 0.0 0.605164
3651.000000 0.359726 0.0 0.606113
3701.000000 0.472623 0.0 0.824822
3751.000000 0.384508 0.0 0.612720
3801.000000 0.408182 0.0 0.626449
3851.000000 0.373449 0.0 0.602646
3901.000000 0.374399 0.0 0.603029
3951.000000 0.353841 0.0 0.600229
4001.000000 0.351422 0.0 0.601381
