x y errorx errory
1.000000 6.095045 0.0 4.474388
51.000000 1.198129 0.0 0.549502
101.000000 1.015319 0.0 0.105820
151.000000 0.799124 0.0 0.354995
201.000000 1.197380 0.0 0.910585
251.000000 1.090316 0.0 0.523739
301.000000 1.259477 0.0 0.835470
351.000000 1.153132 0.0 0.724843
401.000000 1.263456 0.0 0.925975
451.000000 1.139137 0.0 0.606116
501.000000 1.049889 0.0 0.572977
551.000000 1.076751 0.0 0.562660
601.000000 0.924058 0.0 0.420016
651.000000 0.982661 0.0 0.659100
701.000000 1.188175 0.0 0.881239
751.000000 0.967858 0.0 0.623416
801.000000 1.018551 0.0 0.611776
851.000000 0.946486 0.0 0.363867
901.000000 0.983415 0.0 0.244657
951.000000 0.861152 0.0 0.483632
1001.000000 1.365358 0.0 1.033812
1051.000000 0.974169 0.0 0.622337
1101.000000 1.213710 0.0 1.204564
1151.000000 0.907243 0.0 0.770425
1201.000000 1.074547 0.0 0.784310
1251.000000 1.066627 0.0 0.727897
1301.000000 1.343425 0.0 0.825869
1351.000000 0.818395 0.0 0.349202
1401.000000 1.077641 0.0 0.600021
1451.000000 0.863647 0.0 0.359140
1501.000000 1.375563 0.0 2.239150
