x y errorx errory
1.000000 1.000000 0.0 0.000000
51.000000 0.651591 0.0 0.522300
101.000000 0.642812 0.0 0.522131
151.000000 0.537908 0.0 0.532827
201.000000 0.765086 0.0 0.727797
251.000000 0.524588 0.0 0.362103
301.000000 0.723975 0.0 0.816552
351.000000 0.546226 0.0 0.330946
401.000000 0.596903 0.0 0.400496
451.000000 0.682186 0.0 0.588751
501.000000 0.637596 0.0 0.477683
551.000000 0.629551 0.0 0.568780
601.000000 0.579977 0.0 0.418953
651.000000 0.616455 0.0 0.657521
701.000000 0.540370 0.0 0.374779
751.000000 0.792986 0.0 0.880080
801.000000 0.521011 0.0 0.413226
851.000000 0.523780 0.0 0.508165
901.000000 0.579309 0.0 0.398036
951.000000 0.502112 0.0 0.424930
1001.000000 0.617336 0.0 0.453913
1051.000000 0.730946 0.0 0.677579
1101.000000 0.477206 0.0 0.214556
1151.000000 0.573219 0.0 0.451300
1201.000000 0.582022 0.0 0.393652
1251.000000 0.656092 0.0 0.632370
1301.000000 0.677849 0.0 0.785900
1351.000000 0.603958 0.0 0.473898
1401.000000 0.614472 0.0 0.493051
1451.000000 0.656306 0.0 0.401270
1501.000000 0.778825 0.0 0.675858
