x y errorx errory
1.000000 1.897342 0.0 1.152286
51.000000 3.333235 0.0 1.895061
101.000000 3.720259 0.0 2.002186
151.000000 3.625936 0.0 2.711909
201.000000 3.374617 0.0 2.593801
251.000000 3.099674 0.0 2.651253
301.000000 3.049872 0.0 2.695736
351.000000 2.500887 0.0 2.610684
401.000000 2.433243 0.0 2.633870
451.000000 2.143848 0.0 2.231155
501.000000 1.952904 0.0 2.155722
551.000000 1.937441 0.0 2.174170
601.000000 1.873020 0.0 2.149947
651.000000 1.606176 0.0 2.148829
701.000000 1.586504 0.0 2.163264
751.000000 1.561007 0.0 1.995610
801.000000 1.476336 0.0 2.010197
851.000000 1.423510 0.0 1.949614
901.000000 1.402062 0.0 1.956210
951.000000 1.349322 0.0 1.972903
1001.000000 1.347464 0.0 1.977048
1051.000000 1.284239 0.0 1.899883
1101.000000 1.249743 0.0 1.923399
1151.000000 1.208870 0.0 1.736403
1201.000000 1.213754 0.0 1.804516
1251.000000 1.205219 0.0 1.784891
1301.000000 1.141970 0.0 1.727290
1351.000000 1.124067 0.0 1.706387
1401.000000 1.101178 0.0 1.716574
1451.000000 1.092270 0.0 1.731457
1501.000000 0.997725 0.0 1.524298
