i node1 node2 node3 node4 node5 node6 node7 node8 node9 node10
1.000000 0.131158 0.221998 0.253054 0.224168 0.176036 0.248869 0.124481 0.221500 0.110766 0.138260
51.000000 0.467262 0.708491 0.278960 0.215878 0.353469 0.653915 -0.327187 0.761716 0.303342 1.395114
101.000000 -0.224284 0.403228 0.302269 0.002684 0.347476 0.881837 -0.879243 0.471184 0.952225 1.897831
151.000000 0.045071 0.641641 -0.303333 -0.060214 0.930526 0.942105 -1.863011 0.155473 0.929351 1.435006
201.000000 0.423949 0.542288 -0.227771 -0.299842 1.358259 0.613991 -1.603281 0.640590 0.891692 1.483744
251.000000 0.316523 0.508152 0.140476 -0.011899 1.142264 0.530690 -1.384972 0.026153 0.863034 1.003035
301.000000 0.702758 0.413872 -0.102338 -0.121300 1.593791 1.462271 -0.697088 -0.014285 1.738878 2.034522
351.000000 1.157166 -0.119643 0.097497 -0.345803 1.860560 1.310343 -0.667056 0.390156 1.492119 2.075482
401.000000 1.698445 -0.317605 0.068175 -1.013654 1.583678 1.519567 -0.073314 1.515801 1.557241 1.345661
451.000000 2.034763 -0.604828 0.334753 -1.876196 2.462111 2.068716 -0.100609 1.720058 1.744878 1.013670
