i node1 node2 node3 node4 node5 node6 node7 node8 node9 node10
1.000000 9.209882 1.480954 4.030769 4.063020 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11.000000 13.325754 12.784385 10.169514 11.422892 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
21.000000 38.433552 46.071002 40.509371 41.386376 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
31.000000 41.814761 40.888439 42.370398 41.651301 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
41.000000 29.701511 31.516155 31.224231 30.688058 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
51.000000 28.478957 30.672297 30.570035 29.840903 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
61.000000 28.154996 28.814578 29.046286 28.702112 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
71.000000 26.615624 26.011929 26.271090 26.350967 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
81.000000 25.004642 24.013191 24.165852 24.438343 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
91.000000 24.886142 24.069699 24.102074 24.390612 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
101.000000 27.059456 26.780287 26.720351 26.881533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
111.000000 29.803926 30.074806 30.006169 29.969622 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
121.000000 29.580928 29.899276 29.892397 29.784737 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
131.000000 26.689076 26.779954 26.810129 26.752553 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
141.000000 23.795899 23.727219 23.761323 23.756327 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
151.000000 22.780629 22.639042 22.665504 22.691393 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
161.000000 25.178825 25.037917 25.050410 25.086702 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
171.000000 30.235663 30.195099 30.189851 30.206315 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
181.000000 31.698034 31.758472 31.748683 31.735777 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
191.000000 27.929504 27.983210 27.980514 27.965113 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
201.000000 23.486111 23.508468 23.511114 23.501804 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
211.000000 20.702762 20.703913 20.708559 20.705419 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
221.000000 21.400424 21.387170 21.384020 21.395201 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
231.000000 27.742320 27.723833 27.706687 27.733979 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
241.000000 34.303054 34.300750 34.296350 34.301859 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
251.000000 31.102325 31.111576 31.126262 31.106517 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
261.000000 24.754284 24.761516 24.775830 24.757599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
271.000000 19.714757 19.719609 19.729770 19.716962 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
281.000000 16.720298 16.724224 16.726576 16.722035 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
291.000000 17.782199 17.786336 17.768968 17.783972 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
301.000000 27.776614 27.780256 27.731087 27.778096 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
311.000000 38.603032 38.601902 38.599630 38.602442 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
321.000000 31.874530 31.872581 31.903754 31.873721 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
331.000000 23.863165 23.862243 23.883762 23.862820 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
341.000000 18.219167 18.218679 18.234332 18.219010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
351.000000 14.115240 14.114935 14.126188 14.115166 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
361.000000 11.612051 11.611872 11.617377 11.612031 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
371.000000 12.725334 12.725430 12.714116 12.725415 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
381.000000 25.686798 25.687386 25.629448 25.687052 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
391.000000 43.754839 43.754864 43.749953 43.754835 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
401.000000 33.113363 33.113285 33.139034 33.114740 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
411.000000 25.276010 25.275995 25.284834 25.275942 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
