x y errorx errory
1.000000 2.221936 0.0 1.265100
51.000000 0.831950 0.0 0.913478
101.000000 0.243633 0.0 0.277169
151.000000 0.216832 0.0 0.336079
201.000000 0.080708 0.0 0.118636
251.000000 0.083081 0.0 0.120290
301.000000 0.048549 0.0 0.079833
351.000000 0.056324 0.0 0.117641
401.000000 0.023519 0.0 0.037999
451.000000 0.014232 0.0 0.025020
501.000000 0.013863 0.0 0.023689
551.000000 0.017746 0.0 0.043007
601.000000 0.006519 0.0 0.012640
651.000000 0.003749 0.0 0.006635
701.000000 0.003354 0.0 0.006499
751.000000 0.006059 0.0 0.016026
801.000000 0.001775 0.0 0.003859
851.000000 0.000908 0.0 0.001792
901.000000 0.000726 0.0 0.001457
951.000000 0.002124 0.0 0.005885
1001.000000 0.000568 0.0 0.001387
1051.000000 0.000203 0.0 0.000405
1101.000000 0.000182 0.0 0.000389
1151.000000 0.000151 0.0 0.000363
1201.000000 0.000194 0.0 0.000501
1251.000000 0.000056 0.0 0.000123
1301.000000 0.000048 0.0 0.000103
1351.000000 0.000040 0.0 0.000096
1401.000000 0.000063 0.0 0.000182
1451.000000 0.000018 0.0 0.000043
1501.000000 0.000011 0.0 0.000025
1551.000000 0.000010 0.0 0.000025
1601.000000 0.000022 0.0 0.000066
1651.000000 0.000006 0.0 0.000015
1701.000000 0.000003 0.0 0.000007
1751.000000 0.000002 0.0 0.000007
1801.000000 0.000008 0.0 0.000024
1851.000000 0.000002 0.0 0.000006
1901.000000 0.000001 0.0 0.000002
1951.000000 0.000001 0.0 0.000002
2001.000000 0.000001 0.0 0.000002
