x y errorx errory
1.000000 2.187452 0.0 1.154865
51.000000 0.870007 0.0 0.268448
101.000000 0.951627 0.0 0.117528
151.000000 0.568386 0.0 0.333393
201.000000 0.987805 0.0 0.860889
251.000000 0.794750 0.0 0.483968
301.000000 0.825617 0.0 0.439473
351.000000 1.079977 0.0 0.741951
401.000000 1.077629 0.0 0.690949
451.000000 0.725392 0.0 0.568598
501.000000 0.946244 0.0 0.482973
551.000000 1.539795 0.0 1.970131
601.000000 1.289656 0.0 1.033727
651.000000 0.990706 0.0 0.600132
701.000000 1.039723 0.0 0.698175
751.000000 0.783514 0.0 0.457939
801.000000 0.771770 0.0 0.480625
851.000000 0.736541 0.0 0.624621
901.000000 0.877583 0.0 0.340503
951.000000 0.867378 0.0 0.501199
1001.000000 1.088650 0.0 1.151909
1051.000000 1.021811 0.0 0.991819
1101.000000 0.732927 0.0 0.588007
1151.000000 0.904703 0.0 0.747619
1201.000000 1.981574 0.0 2.261238
1251.000000 0.896114 0.0 0.591749
1301.000000 0.778233 0.0 0.314676
1351.000000 0.828535 0.0 1.003408
1401.000000 0.895319 0.0 0.761822
1451.000000 0.713328 0.0 0.354781
1501.000000 1.384970 0.0 0.989218
1551.000000 0.885949 0.0 0.584102
1601.000000 1.067607 0.0 0.737182
1651.000000 1.504087 0.0 1.658552
1701.000000 0.923815 0.0 0.658139
1751.000000 0.885916 0.0 0.783639
1801.000000 0.961505 0.0 0.699516
1851.000000 0.547126 0.0 0.304538
1901.000000 0.806030 0.0 0.432697
1951.000000 1.239812 0.0 1.230707
2001.000000 1.015792 0.0 0.797461
