x y errorx errory
1.000000 1.870130 0.0 1.280615
51.000000 2.666955 0.0 1.217811
101.000000 4.220602 0.0 2.958141
151.000000 4.013247 0.0 3.168369
201.000000 3.862916 0.0 2.717215
251.000000 2.954153 0.0 2.299724
301.000000 3.614854 0.0 3.130854
351.000000 2.617065 0.0 1.949054
401.000000 2.792243 0.0 2.613330
451.000000 2.638966 0.0 2.414330
501.000000 2.189315 0.0 1.933407
551.000000 2.273366 0.0 1.948276
601.000000 2.091847 0.0 2.488396
651.000000 2.297562 0.0 2.104190
701.000000 2.175579 0.0 2.729500
751.000000 2.133217 0.0 2.570146
801.000000 1.913866 0.0 1.985513
851.000000 1.686959 0.0 1.598200
901.000000 1.969765 0.0 2.300721
951.000000 1.997362 0.0 2.321817
1001.000000 1.537874 0.0 1.909087
1051.000000 1.725023 0.0 2.357675
1101.000000 1.620247 0.0 2.339584
1151.000000 1.934367 0.0 2.603650
1201.000000 1.644855 0.0 2.139234
1251.000000 1.453983 0.0 1.791558
1301.000000 1.616017 0.0 2.102078
1351.000000 1.703548 0.0 2.249602
1401.000000 1.539913 0.0 2.163402
1451.000000 1.467088 0.0 2.156873
1501.000000 1.570057 0.0 2.274147
1551.000000 1.486869 0.0 2.201456
1601.000000 1.569135 0.0 2.042530
1651.000000 1.377900 0.0 1.694572
1701.000000 1.526203 0.0 1.981067
1751.000000 1.402639 0.0 2.038843
1801.000000 1.513966 0.0 2.090588
1851.000000 1.371635 0.0 1.820922
1901.000000 1.173703 0.0 1.780115
1951.000000 1.093416 0.0 1.821667
2001.000000 0.979037 0.0 1.559969
2051.000000 0.980173 0.0 1.385588
2101.000000 0.950050 0.0 1.286773
2151.000000 1.135480 0.0 2.052617
2201.000000 1.014840 0.0 1.531003
2251.000000 0.974347 0.0 1.078741
2301.000000 1.301735 0.0 1.576398
2351.000000 1.158516 0.0 1.343899
2401.000000 0.886433 0.0 1.261494
2451.000000 0.933121 0.0 1.037180
2501.000000 0.900185 0.0 0.810091
2551.000000 1.100784 0.0 1.533704
2601.000000 1.066939 0.0 1.164708
2651.000000 0.890017 0.0 0.940013
2701.000000 1.067017 0.0 1.673847
2751.000000 0.924164 0.0 1.163437
2801.000000 1.131607 0.0 1.481634
2851.000000 0.818064 0.0 1.025377
2901.000000 0.833407 0.0 0.985677
2951.000000 0.974007 0.0 1.509162
3001.000000 0.902718 0.0 1.025715
3051.000000 0.885379 0.0 1.173358
3101.000000 1.120567 0.0 1.552398
3151.000000 0.743905 0.0 0.883292
3201.000000 0.673109 0.0 0.688579
3251.000000 1.050900 0.0 1.573246
3301.000000 0.804314 0.0 1.094934
3351.000000 0.767398 0.0 1.129177
3401.000000 0.711535 0.0 0.894442
3451.000000 0.690736 0.0 0.712420
3501.000000 0.744792 0.0 1.116950
3551.000000 0.702065 0.0 0.874772
3601.000000 0.678367 0.0 0.884020
3651.000000 0.812097 0.0 1.111943
3701.000000 0.747656 0.0 0.828463
3751.000000 0.706201 0.0 0.700311
3801.000000 0.753925 0.0 0.720479
3851.000000 0.782585 0.0 0.629858
3901.000000 0.792554 0.0 0.809558
3951.000000 0.855618 0.0 0.757329
4001.000000 0.682800 0.0 0.731852
4051.000000 0.891061 0.0 0.909936
4101.000000 0.725063 0.0 0.849593
4151.000000 0.729246 0.0 0.693425
4201.000000 0.724809 0.0 0.753198
4251.000000 0.647818 0.0 0.755128
4301.000000 0.631737 0.0 0.768783
4351.000000 0.711212 0.0 0.987071
4401.000000 0.652870 0.0 0.622050
4451.000000 0.650917 0.0 0.656483
4501.000000 0.607746 0.0 0.675135
4551.000000 0.532073 0.0 0.668720
4601.000000 0.765303 0.0 0.645931
4651.000000 0.703153 0.0 0.640909
4701.000000 0.593310 0.0 0.724665
4751.000000 0.536036 0.0 0.633338
4801.000000 0.527124 0.0 0.681221
4851.000000 0.607849 0.0 0.697499
4901.000000 0.473113 0.0 0.498312
4951.000000 0.616284 0.0 0.694031
5001.000000 0.706104 0.0 0.654611
5051.000000 0.648440 0.0 0.584703
5101.000000 0.730268 0.0 1.082064
5151.000000 0.638703 0.0 0.446670
5201.000000 0.541790 0.0 0.435376
