x y errorx errory
1.000000 2.221936 0.0 1.265100
51.000000 3.271023 0.0 1.433725
101.000000 3.838281 0.0 1.931281
151.000000 3.918141 0.0 2.890238
201.000000 3.589394 0.0 2.798317
251.000000 3.269935 0.0 2.889796
301.000000 3.136523 0.0 2.981120
351.000000 2.554717 0.0 2.904410
401.000000 2.538062 0.0 2.917679
451.000000 2.245433 0.0 2.349988
501.000000 2.071380 0.0 2.266758
551.000000 2.065803 0.0 2.276076
601.000000 1.980464 0.0 2.302216
651.000000 1.683542 0.0 2.281259
701.000000 1.663023 0.0 2.290146
751.000000 1.603590 0.0 2.053178
801.000000 1.496108 0.0 2.069585
851.000000 1.489155 0.0 2.073229
901.000000 1.470886 0.0 2.076350
951.000000 1.412364 0.0 2.095072
1001.000000 1.411648 0.0 2.100997
1051.000000 1.384441 0.0 2.103351
1101.000000 1.277517 0.0 1.865757
1151.000000 1.274738 0.0 1.867117
1201.000000 1.291334 0.0 1.891524
1251.000000 1.265887 0.0 1.902625
1301.000000 1.261334 0.0 1.904837
1351.000000 1.220440 0.0 1.888409
1401.000000 1.193706 0.0 1.900911
1451.000000 1.143704 0.0 1.879657
1501.000000 1.043510 0.0 1.604356
1551.000000 0.990563 0.0 1.602708
1601.000000 0.989761 0.0 1.603144
1651.000000 0.979150 0.0 1.605185
1701.000000 0.944445 0.0 1.606055
1751.000000 0.942995 0.0 1.606938
1801.000000 0.926243 0.0 1.605041
1851.000000 0.908112 0.0 1.610604
1901.000000 0.775524 0.0 1.241653
1951.000000 0.774278 0.0 1.242546
2001.000000 0.759808 0.0 1.246253
2051.000000 0.746950 0.0 1.246504
2101.000000 0.746689 0.0 1.246529
2151.000000 0.723834 0.0 1.249587
2201.000000 0.721551 0.0 1.250684
2251.000000 0.579940 0.0 0.857464
2301.000000 0.568503 0.0 0.859360
2351.000000 0.564971 0.0 0.860241
2401.000000 0.557016 0.0 0.860682
2451.000000 0.551381 0.0 0.863253
2501.000000 0.543560 0.0 0.863817
2551.000000 0.541693 0.0 0.864403
2601.000000 0.538811 0.0 0.865982
2651.000000 0.473469 0.0 0.692178
2701.000000 0.472073 0.0 0.692991
2751.000000 0.466622 0.0 0.693343
2801.000000 0.463926 0.0 0.692558
2851.000000 0.458060 0.0 0.693419
2901.000000 0.456284 0.0 0.694174
2951.000000 0.454854 0.0 0.694990
3001.000000 0.443285 0.0 0.693079
3051.000000 0.397239 0.0 0.566494
3101.000000 0.392828 0.0 0.566986
3151.000000 0.386093 0.0 0.565020
3201.000000 0.382915 0.0 0.564313
3251.000000 0.378447 0.0 0.565372
3301.000000 0.369481 0.0 0.561955
3351.000000 0.366377 0.0 0.562541
3401.000000 0.365954 0.0 0.562734
3451.000000 0.361156 0.0 0.563233
3501.000000 0.357771 0.0 0.567647
3551.000000 0.357337 0.0 0.567929
3601.000000 0.353446 0.0 0.568781
3651.000000 0.348731 0.0 0.568116
3701.000000 0.345440 0.0 0.569293
3751.000000 0.344871 0.0 0.569075
3801.000000 0.340153 0.0 0.568963
3851.000000 0.337888 0.0 0.569638
3901.000000 0.349158 0.0 0.606951
3951.000000 0.347136 0.0 0.607595
4001.000000 0.342879 0.0 0.607747
4051.000000 0.340280 0.0 0.608214
4101.000000 0.339947 0.0 0.608405
4151.000000 0.335439 0.0 0.608313
4201.000000 0.333968 0.0 0.608908
4251.000000 0.333330 0.0 0.609124
4301.000000 0.323619 0.0 0.595463
4351.000000 0.322891 0.0 0.595729
4401.000000 0.322882 0.0 0.595734
4451.000000 0.320315 0.0 0.596226
4501.000000 0.317523 0.0 0.596434
4551.000000 0.316386 0.0 0.596939
4601.000000 0.315098 0.0 0.596855
4651.000000 0.311533 0.0 0.597592
4701.000000 0.311204 0.0 0.597635
4751.000000 0.305320 0.0 0.583099
4801.000000 0.301914 0.0 0.583784
4851.000000 0.301910 0.0 0.583787
