x y errorx errory
1.000000 0.971968 0.0 0.076776
51.000000 0.959282 0.0 0.123146
101.000000 1.000000 0.0 0.000000
151.000000 0.996433 0.0 0.013814
201.000000 1.095215 0.0 0.233538
251.000000 1.105147 0.0 0.304279
301.000000 1.039621 0.0 0.150515
351.000000 1.285607 0.0 0.580954
401.000000 0.989896 0.0 0.107010
451.000000 1.112837 0.0 0.328831
501.000000 1.179336 0.0 0.521634
551.000000 1.083609 0.0 0.368143
601.000000 1.073921 0.0 0.250420
651.000000 1.373263 0.0 1.108149
701.000000 1.113789 0.0 0.271300
751.000000 1.163672 0.0 0.739626
801.000000 1.399570 0.0 1.145318
851.000000 0.974784 0.0 0.097660
901.000000 1.031704 0.0 0.189274
951.000000 0.958444 0.0 0.176540
1001.000000 1.182089 0.0 0.419369
1051.000000 1.032000 0.0 0.176551
1101.000000 1.277494 0.0 0.769289
1151.000000 1.401090 0.0 0.892617
1201.000000 1.037798 0.0 0.208203
1251.000000 1.105867 0.0 0.421283
1301.000000 1.146106 0.0 0.275342
1351.000000 1.269188 0.0 0.738100
1401.000000 1.191677 0.0 0.403882
1451.000000 1.082255 0.0 0.149448
1501.000000 1.202915 0.0 0.459923
