x y errorx errory
1.000000 1.000000 0.0 0.000000
51.000000 0.653371 0.0 0.871997
101.000000 0.251796 0.0 0.115873
151.000000 0.494557 0.0 0.827883
201.000000 0.661391 0.0 0.978999
251.000000 0.492215 0.0 0.539907
301.000000 0.337022 0.0 0.177797
351.000000 0.364540 0.0 0.196895
401.000000 0.278119 0.0 0.216579
451.000000 0.337624 0.0 0.190130
501.000000 0.358451 0.0 0.122430
551.000000 0.532771 0.0 0.586696
601.000000 0.396486 0.0 0.250774
651.000000 0.443155 0.0 0.519070
701.000000 0.397502 0.0 0.294692
751.000000 0.276118 0.0 0.173895
801.000000 0.542375 0.0 0.738061
851.000000 0.303352 0.0 0.321586
901.000000 0.349137 0.0 0.171067
951.000000 0.492553 0.0 0.323831
1001.000000 0.622401 0.0 0.192148
1051.000000 0.412539 0.0 0.244130
1101.000000 0.260284 0.0 0.166693
1151.000000 0.569422 0.0 0.354833
1201.000000 0.402455 0.0 0.301743
1251.000000 0.441372 0.0 0.278931
1301.000000 0.335423 0.0 0.195530
1351.000000 0.576333 0.0 0.827537
1401.000000 0.290473 0.0 0.308376
1451.000000 0.589250 0.0 0.367740
1501.000000 0.653746 0.0 0.691811
