x y errorx errory
1.000000 0.977408 0.0 0.145604
51.000000 1.199704 0.0 0.580654
101.000000 1.233072 0.0 0.645907
151.000000 1.598812 0.0 0.727981
201.000000 1.416754 0.0 0.665878
251.000000 1.532015 0.0 0.770794
301.000000 1.607291 0.0 1.157286
351.000000 1.575197 0.0 1.261741
401.000000 2.069015 0.0 1.403602
451.000000 1.771445 0.0 1.062078
501.000000 1.469268 0.0 0.789293
551.000000 1.723323 0.0 1.312034
601.000000 2.007841 0.0 1.485245
651.000000 1.733335 0.0 1.022639
701.000000 2.207124 0.0 1.716637
751.000000 2.115597 0.0 1.738858
801.000000 1.779051 0.0 1.277159
851.000000 2.071098 0.0 1.696800
901.000000 2.013424 0.0 1.460877
951.000000 1.582155 0.0 0.562061
1001.000000 1.771771 0.0 0.992962
1051.000000 1.470037 0.0 0.603435
1101.000000 1.872251 0.0 1.447555
1151.000000 1.694829 0.0 1.318368
1201.000000 2.032954 0.0 2.363066
1251.000000 2.047859 0.0 1.915490
1301.000000 1.550661 0.0 1.026476
1351.000000 1.625269 0.0 1.075892
1401.000000 1.833459 0.0 1.383725
1451.000000 1.848046 0.0 1.634769
1501.000000 1.813462 0.0 1.243211
