x y errorx errory
1.000000 1.000000 0.0 0.000000
51.000000 0.438822 0.0 0.537804
101.000000 0.209609 0.0 0.147528
151.000000 0.325668 0.0 0.258656
201.000000 0.276723 0.0 0.184294
251.000000 0.326686 0.0 0.226685
301.000000 0.174915 0.0 0.170707
351.000000 0.332125 0.0 0.190603
401.000000 0.290756 0.0 0.265589
451.000000 0.346530 0.0 0.274037
501.000000 0.306950 0.0 0.377587
551.000000 0.300641 0.0 0.210364
601.000000 0.341273 0.0 0.190589
651.000000 0.339205 0.0 0.184431
701.000000 0.387017 0.0 0.176744
751.000000 0.260643 0.0 0.159720
801.000000 0.227963 0.0 0.152976
851.000000 0.387870 0.0 0.254275
901.000000 0.292904 0.0 0.262768
951.000000 0.351205 0.0 0.220805
1001.000000 0.528509 0.0 0.602834
1051.000000 0.351288 0.0 0.276592
1101.000000 0.350413 0.0 0.254938
1151.000000 0.200390 0.0 0.149790
1201.000000 0.175719 0.0 0.112929
1251.000000 0.293834 0.0 0.130371
1301.000000 0.224015 0.0 0.159455
1351.000000 0.324483 0.0 0.195035
1401.000000 0.339625 0.0 0.266344
1451.000000 0.295805 0.0 0.204921
1501.000000 0.275702 0.0 0.123443
