x y errorx errory
1.000000 7.105779 0.0 4.441634
51.000000 0.978871 0.0 0.472431
101.000000 0.923636 0.0 0.277012
151.000000 0.894649 0.0 0.902503
201.000000 0.799646 0.0 0.633681
251.000000 0.285554 0.0 0.286524
301.000000 0.512088 0.0 0.462853
351.000000 0.359768 0.0 0.371055
401.000000 0.693395 0.0 0.889433
451.000000 0.762593 0.0 0.773441
501.000000 0.392920 0.0 0.393185
551.000000 0.268289 0.0 0.207331
601.000000 0.590824 0.0 0.598474
651.000000 0.570147 0.0 0.491256
701.000000 0.472383 0.0 0.373293
751.000000 0.453213 0.0 0.290227
801.000000 0.552330 0.0 0.412659
851.000000 0.488122 0.0 0.381860
901.000000 0.861909 0.0 0.824092
951.000000 0.137686 0.0 0.147829
1001.000000 0.270383 0.0 0.284370
1051.000000 0.708895 0.0 0.967507
1101.000000 0.455638 0.0 0.436600
1151.000000 0.391324 0.0 0.232378
1201.000000 0.355612 0.0 0.502115
1251.000000 0.318107 0.0 0.342793
1301.000000 0.383112 0.0 0.311236
1351.000000 1.032205 0.0 2.389751
1401.000000 0.472231 0.0 0.357541
1451.000000 0.178156 0.0 0.148435
1501.000000 0.588136 0.0 0.666486
