x y errorx errory
1.000000 6.915714 0.0 4.683459
51.000000 0.928406 0.0 0.677861
101.000000 1.285885 0.0 1.096165
151.000000 0.402995 0.0 0.462211
201.000000 0.455212 0.0 0.390861
251.000000 0.111549 0.0 0.121953
301.000000 0.296203 0.0 0.327970
351.000000 0.098912 0.0 0.105940
401.000000 0.323661 0.0 0.382273
451.000000 0.491394 0.0 0.590320
501.000000 0.518992 0.0 0.551353
551.000000 0.336717 0.0 0.514550
601.000000 0.408883 0.0 0.534985
651.000000 0.198168 0.0 0.418690
701.000000 0.253162 0.0 0.365689
751.000000 0.183979 0.0 0.323023
801.000000 0.267725 0.0 0.404052
851.000000 0.137462 0.0 0.227383
901.000000 0.344242 0.0 0.419203
951.000000 0.116272 0.0 0.159061
1001.000000 0.327971 0.0 0.480971
1051.000000 0.058269 0.0 0.053984
1101.000000 0.195942 0.0 0.321980
1151.000000 0.133041 0.0 0.177100
1201.000000 0.339363 0.0 0.597422
1251.000000 0.093061 0.0 0.143859
1301.000000 0.257390 0.0 0.372185
1351.000000 0.140201 0.0 0.216491
1401.000000 0.234773 0.0 0.356467
1451.000000 0.048950 0.0 0.065855
1501.000000 0.129440 0.0 0.183308
